Date,first_prize,2digit,3digit_1,3digit_2,3digit_3,3digit_4
2003-07-01,461414,91,151,878,395,282
2003-07-16,679545,75,049,589,281,363
2003-08-01,766098,91,733,856,007,460
2003-08-16,354771,00,496,271,206,624
2003-09-01,187813,92,661,918,793,249
2003-09-16,600589,53,909,356,996,494
2003-10-01,912040,43,407,100,379,563
2003-10-16,305500,03,109,012,084,470
2003-11-01,941438,47,866,156,216,264
2003-11-16,238511,68,155,767,594,474
2003-12-01,991307,78,945,719,559,217
2003-12-16,177947,87,676,847,735,571
2003-12-30,739447,64,654,435,743,216
2004-01-16,731342,96,025,357,926,391
2004-02-01,216822,77,361,242,769,765
2004-02-16,698002,00,877,309,798,072
2004-03-01,697483,50,610,510,759,206
2004-03-16,615366,69,779,094,478,830
2004-04-01,196391,62,808,918,257,851
2004-04-16,705832,12,008,966,634,721
2004-05-02,653403,91,385,550,822,101
2004-05-16,589207,13,492,992,526,253
2004-06-01,614144,72,990,776,425,992
2004-06-16,208713,87,414,911,459,986
2004-07-01,312471,66,313,598,664,261
2004-07-16,205588,25,696,726,461,154
2004-08-02,868990,45,956,811,510,377
2004-08-16,335921,59,114,082,559,288
2004-09-01,096597,70,709,929,014,456
2004-09-16,923373,59,295,888,774,867
2004-10-01,110866,66,200,547,781,806
2004-10-16,355858,62,162,200,438,890
2004-11-01,185966,23,862,137,745,661
2004-11-16,754622,64,918,019,744,904
2004-12-01,504658,69,139,014,984,691
2004-12-16,479372,17,288,075,999,183
2004-12-30,168858,28,221,603,627,179
2005-01-16,335022,08,689,291,039,479
2005-02-01,540054,34,389,180,863,571
2005-02-16,816422,53,086,356,192,065
2005-03-01,800751,93,681,714,998,669
2005-03-16,196345,03,073,601,783,394
2005-04-01,815753,69,482,381,224,807
2005-04-16,119327,10,081,968,346,627
2005-05-02,772467,43,017,383,815,073
2005-05-16,867134,97,376,648,465,693
2005-06-01,176893,35,176,579,616,405
2005-06-16,793070,44,806,021,074,605
2005-07-01,009554,87,798,427,641,244
2005-07-16,477452,13,757,150,460,642
2005-08-01,961633,26,055,152,386,272
2005-08-16,475560,68,272,844,103,915
2005-09-01,316933,17,123,338,969,047
2005-09-16,214768,10,498,282,124,057
2005-10-01,766482,24,766,551,792,275
2005-10-16,041072,71,346,913,410,269
2005-11-01,970577,98,171,375,009,216
2005-11-16,742518,80,502,741,887,137
2005-12-01,388551,17,072,764,027,770
2005-12-16,449565,86,802,162,958,994
2005-12-30,492955,94,066,308,742,150
2006-01-16,432747,79,222,789,965,200
2006-02-01,412729,87,915,720,149,384
2006-02-16,317009,66,784,240,135,280
2006-03-01,582473,43,586,801,108,914
2006-03-16,936177,30,486,185,205,320
2006-04-01,738365,95,064,955,301,522
2006-04-16,038564,49,210,442,769,877
2006-05-02,024554,27,006,438,082,117
2006-05-16,100344,71,386,463,811,696
2006-06-01,810850,99,526,149,382,664
2006-06-16,100935,17,381,410,595,250
2006-07-01,952890,65,126,183,017,839
2006-07-16,512434,48,989,098,518,432
2006-08-01,238654,88,847,005,817,487
2006-08-16,977486,91,221,305,230,103
2006-09-01,381761,44,600,693,093,626
2006-09-16,217948,41,916,290,864,121
2006-10-01,952335,92,007,804,879,951
2006-10-16,264825,58,903,092,358,832
2006-11-01,910957,29,647,739,137,905
2006-11-16,562856,94,508,307,680,347
2006-12-01,270052,12,621,462,091,236
2006-12-16,147977,45,439,694,647,197
2006-12-30,778584,07,811,403,164,971
2007-01-16,838739,55,293,263,845,803
2007-02-01,769925,56,893,239,287,865
2007-02-16,277859,95,625,607,979,384
2007-03-01,742425,61,949,294,942,801
2007-03-16,876763,85,191,001,906,350
2007-04-01,622780,93,677,794,814,022
2007-04-16,405105,63,013,987,866,522
2007-05-02,430374,81,553,442,881,729
2007-05-16,232897,25,924,858,751,585
2007-06-01,836393,05,739,242,523,433
2007-06-16,393194,41,989,907,424,589
2007-07-01,565151,76,146,287,638,949
2007-07-16,527384,77,105,183,334,947
2007-08-01,429924,29,006,048,885,962
2007-08-16,476207,93,234,236,312,424
2007-09-01,331810,69,293,505,518,520
2007-09-16,499336,45,247,273,604,608
2007-10-01,430667,76,090,104,126,667
2007-10-16,032988,48,158,663,685,846
2007-11-01,927907,88,213,277,524,648
2007-11-16,562481,73,130,198,752,844
2007-12-01,113410,18,418,485,627,659
2007-12-16,513501,96,425,432,460,702
2007-12-30,595411,81,267,490,741,787
2008-01-16,556010,81,413,548,942,965
2008-02-01,212684,26,311,472,732,796
2008-02-16,137054,80,344,512,630,892
2008-03-01,936685,05,056,085,371,691
2008-03-16,074946,33,077,974,085,158
2008-04-01,012653,71,124,195,200,586
2008-04-16,982800,64,802,584,043,008
2008-05-02,453011,62,001,133,001,792
2008-05-16,329231,69,193,120,355,214
2008-06-01,414875,35,370,666,747,916
2008-06-16,729111,75,339,345,639,870
2008-07-01,943671,50,096,287,490,523
2008-07-16,257374,41,344,401,486,576
2008-08-01,850348,11,236,386,408,913
2008-08-16,380377,36,161,445,457,744
2008-09-01,695993,09,027,206,413,904
2008-09-16,012377,56,378,534,557,691
2008-10-01,882911,67,204,302,311,395
2008-10-16,431277,98,324,526,644,648
2008-11-01,272028,76,285,333,421,929
2008-11-16,002612,20,068,589,824,877
2008-12-01,205434,05,013,260,617,957
2008-12-16,074114,25,305,715,803,959
2008-12-30,218596,22,094,197,831,984
2009-01-16,743212,25,266,800,842,885
2009-02-01,534533,69,660,777,015,427
2009-02-16,038730,93,961,939,115,434
